stop_id,stop-name,stop_lat,stop_lon,pickup_type,lines,direction,group_id
55,Obchodná akadémia,49.05081,20.297315,1,"5, 9",-,161
56A,Hraničná,49.059675,20.2804875,1,"7",-,162
56B,Hraničná,49.05974,20.28104,0,"7",-,162
57A,Kovošrot,49.05935,20.28527,1,"7",-,163
57B,Kovošrot,49.05929,20.28485,1,"7",-,163
58A,NC Forum,49.053,20.29825,1,"7, 8",-,164
58B,NC Forum,49.05305,20.29923,1,"7, 8",-,164
59,Tatranské námestie,49.0535,20.304,1,"7, 8",-,165
60A,"Moyzesova, OC",49.044066,20.2922,1,"7, 5",-,167
60B,"Moyzesova, OC",49.043601,20.29178,1,"7, 5, 8",-,167
61A,"Rožňavská cesta, OC",49.0474588151965,20.2921,1,"5",-,168
61B,"Rožňavská cesta, OC",49.047425,20.29261,1,"5",-,168
